Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum Height,Flower Colour,Hazard,Attracted Animals,Native habitat,Mature Leaf Colour,Young Flush Leaf Colour,Leaf Area Index,Growth Rate,Trunk Texture,Trunk Colour,Leaf Texture
Aglaonema simplex (Blume) Blume,Malayan Sword,3740,https://www.nparks.gov.sg/florafaunaweb/flora/3/7/3740,"Herbaceous Plant, Shrub","Full Shade, Semi Shade","Lots of Water, Moderate Water",FALSE,TRUE,FALSE,FALSE,1.2,"Cream / Off-White, White",-,-,"Terrestrial (Primary Rainforest, Secondary Rainforest, Monsoon Forest, Freshwater Swamp Forest)",Green,-,3.5 (Shrub & Groundcover - Monocot),Slow,None,None,Coarse
Ardisia elliptica Thunb.,Seashore Ardisia,2727,https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2727,"Shrub, Tree","Full Sun, Semi Shade",Moderate Water,FALSE,TRUE,TRUE,FALSE,8,Pink,-,"Bird-Attracting, Butterfly Host Plant (Leaves, Associated with: Abisara saturata kausambioides (de Nicéville, 1896), Taxila haquinus haquinus (Fabricius, 1793)), Caterpillar Moth Food Plant, Bee-Attracting","Terrestrial (Coastal Forest), Shoreline (Mangrove Forest, Backshore, Sandy Beach)",Green,Red,3.0 (Tree - Intermediate Canopy),Moderate,-,-,Medium
Asplenium nidus L. var. nidus,Bird's Nest Fern,1541,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1541,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,FALSE,TRUE,FALSE,FALSE,0.5,-,-,-,Terrestrial,Green,-,-,Slow,None,None,Coarse
Caryota mitis Lour.,Fishtail Palm,2607,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2607,"Palm, Shrub","Full Sun, Semi Shade",Moderate Water,FALSE,TRUE,FALSE,FALSE,10,Cream / Off-White,-,Bird-Attracting,-,Green,-,4.0 (Palm - Cluster),Moderate,-,green,Coarse
Cassia grandis L. f.,Horse Cassia,2788,https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2788,Tree,Full Sun,Moderate Water,FALSE,FALSE,FALSE,FALSE,25,"Orange, Pink, Red",-,-,Terrestrial (Riverine),"Green, Purple",-,2.5 (Tree - Open Canopy),Moderate,Smooth,Light grey,None
Cathetus myrtifolius (Wight) R.W.Bouman,Ceylon Myrtle,2334,https://www.nparks.gov.sg/florafaunaweb/flora/2/3/2334,Shrub,Full Sun,Moderate Water,FALSE,FALSE,FALSE,FALSE,3,Pink,-,-,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,Medium
Cenchrus × cupreus 'Rubrum',Purple Fountain Grass,2314,https://www.nparks.gov.sg/florafaunaweb/flora/2/3/2314,Grass or Grass-like Plant,Full Sun,Moderate Water,TRUE,FALSE,FALSE,FALSE,1.5,"Purple, Red",-,-,Terrestrial (Grassland / Savannah/ Scrubland),"Purple, Red",-,3.5 (Shrub & Groundcover - Monocot),Moderate,None,None,None
Cheilocostus speciosus (J. Koenig) C. Specht,Crepe Ginger,1869,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1869,Herbaceous Plant,"Full Sun, Semi Shade","Lots of Water, Moderate Water",FALSE,TRUE,TRUE,FALSE,3,"White, Red, Yellow / Golden",-,"Bird-Attracting, Butterfly Host Plant","Terrestrial (Primary Rainforest, Secondary Rainforest, Disturbed Area / Open Ground)",Green,-,-,Fast,None,None,Medium
Cratoxylum cochinchinense (Lour.) Blume,Derum Selunchor,2829,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2829,"Shrub, Tree","Full Sun, Semi Shade",Moderate Water,FALSE,TRUE,FALSE,TRUE,30,"Red, Orange, Pink",-,"Butterfly Host Plant (Leaves, Associated with: Eurema  hecabe contubernalis (Moore, 1886), Lexias pardalis), Bee-Attracting","Terrestrial (Secondary Rainforest, Primary Rainforest, Freshwater Swamp Forest)",Green,Red,3.0 (Tree - Intermediate Canopy),Moderate,"Peeling / Flaking / Papery, Smooth",Reddish-brown,Medium
Leea rubra Blume,Mali-mali Puchok Merah,2192,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2192,Shrub,Full Sun,Moderate Water,FALSE,TRUE,FALSE,FALSE,3,"Red, White, Yellow / Golden",-,"Bird-Attracting (Fruits), Butterfly-Attracting (Flower Nectar), Bee-Attracting","Terrestrial (Secondary Rainforest, Monsoon Forest, Grassland / Savannah/ Scrubland, Primary Rainforest)","Green, Red",Red,4.5 (Shrub & Groundcover - Dicot),-,None,None,Coarse
Excoecaria cochinchinensis,Chinese Croton,2010,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2010,Shrub,"Full Sun, Semi Shade",Moderate Water,FALSE,FALSE,FALSE,FALSE,1,Green,"Toxic Upon Ingestion, Irritant - Sap",-,Terrestrial,"Green, Purple",Red,4.5 (Shrub & Groundcover - Dicot),-,None,None,Medium
Galphimia glauca,Shower of Gold,2024,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2024,Shrub,Full Sun,Little Water,TRUE,FALSE,FALSE,FALSE,1,Yellow / Golden,-,-,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,Medium
